symbol,timestamp,buy_crossover,sell_crossover
ETH/USDT,2025-03-27 04:10:00,False,False
ENA/USDT,2025-03-27 04:10:00,False,False
BLAST/USDT,2025-03-27 04:10:00,False,False
EIGEN/USDT,2025-03-27 04:10:00,False,False
MNT/USDT,2025-03-27 04:10:00,False,False
ETH/USDT,2025-03-27 04:11:00,False,False
ENA/USDT,2025-03-27 04:11:00,False,False
BLAST/USDT,2025-03-27 04:11:00,False,False
EIGEN/USDT,2025-03-27 04:11:00,False,False
MNT/USDT,2025-03-27 04:11:00,False,False
ETH/USDT,2025-03-27 04:15:00,False,False
ENA/USDT,2025-03-27 04:15:00,False,False
BLAST/USDT,2025-03-27 04:15:00,False,False
EIGEN/USDT,2025-03-27 04:15:00,False,False
MNT/USDT,2025-03-27 04:15:00,False,False
ETH/USDT,2025-03-27 04:15:00,False,False
ENA/USDT,2025-03-27 04:15:00,False,False
BLAST/USDT,2025-03-27 04:15:00,False,False
EIGEN/USDT,2025-03-27 04:15:00,False,False
MNT/USDT,2025-03-27 04:15:00,False,False
ETH/USDT,2025-03-27 04:15:00,False,False
ENA/USDT,2025-03-27 04:15:00,False,False
BLAST/USDT,2025-03-27 04:16:00,True,False
EIGEN/USDT,2025-03-27 04:16:00,False,False
MNT/USDT,2025-03-27 04:16:00,False,False
ETH/USDT,2025-03-27 04:16:00,False,False
ENA/USDT,2025-03-27 04:16:00,False,False
BLAST/USDT,2025-03-27 04:16:00,True,False
EIGEN/USDT,2025-03-27 04:16:00,False,False
MNT/USDT,2025-03-27 04:16:00,False,False
ETH/USDT,2025-03-27 04:16:00,False,False
ENA/USDT,2025-03-27 04:16:00,False,False
BLAST/USDT,2025-03-27 04:16:00,True,False
EIGEN/USDT,2025-03-27 04:16:00,False,False
MNT/USDT,2025-03-27 04:16:00,False,False
ETH/USDT,2025-03-27 04:17:00,False,False
ENA/USDT,2025-03-27 04:17:00,False,False
BLAST/USDT,2025-03-27 04:17:00,True,False
EIGEN/USDT,2025-03-27 04:17:00,False,False
MNT/USDT,2025-03-27 04:17:00,False,False
ETH/USDT,2025-03-27 04:17:00,False,False
ENA/USDT,2025-03-27 04:17:00,False,False
BLAST/USDT,2025-03-27 04:17:00,True,False
EIGEN/USDT,2025-03-27 04:17:00,False,False
MNT/USDT,2025-03-27 04:17:00,False,False
ETH/USDT,2025-03-27 04:17:00,False,False
ENA/USDT,2025-03-27 04:17:00,False,False
BLAST/USDT,2025-03-27 04:17:00,True,False
EIGEN/USDT,2025-03-27 04:17:00,False,False
MNT/USDT,2025-03-27 04:17:00,False,False
ETH/USDT,2025-03-27 04:17:00,False,False
ENA/USDT,2025-03-27 04:17:00,False,False
BLAST/USDT,2025-03-27 04:17:00,True,False
EIGEN/USDT,2025-03-27 04:17:00,False,False
MNT/USDT,2025-03-27 04:17:00,False,False
ETH/USDT,2025-03-27 04:17:00,False,False
ENA/USDT,2025-03-27 04:17:00,False,False
BLAST/USDT,2025-03-27 04:17:00,True,False
EIGEN/USDT,2025-03-27 04:17:00,False,False
MNT/USDT,2025-03-27 04:17:00,False,False
ETH/USDT,2025-03-27 04:17:00,False,False
ENA/USDT,2025-03-27 04:17:00,False,False
BLAST/USDT,2025-03-27 04:17:00,True,False
EIGEN/USDT,2025-03-27 04:17:00,False,False
MNT/USDT,2025-03-27 04:18:00,False,False
ETH/USDT,2025-03-27 04:18:00,False,False
ENA/USDT,2025-03-27 04:18:00,False,False
BLAST/USDT,2025-03-27 04:18:00,False,False
EIGEN/USDT,2025-03-27 04:18:00,False,False
MNT/USDT,2025-03-27 04:18:00,False,False
ETH/USDT,2025-03-27 04:18:00,False,False
ENA/USDT,2025-03-27 04:18:00,False,False
BLAST/USDT,2025-03-27 04:18:00,False,False
EIGEN/USDT,2025-03-27 04:18:00,False,False
MNT/USDT,2025-03-27 04:18:00,False,False
ETH/USDT,2025-03-27 04:35:00,False,False
ENA/USDT,2025-03-27 04:35:00,False,False
BLAST/USDT,2025-03-27 04:35:00,False,False
EIGEN/USDT,2025-03-27 04:35:00,False,False
MNT/USDT,2025-03-27 04:35:00,False,False
ETH/USDT,2025-03-27 04:35:00,False,False
ENA/USDT,2025-03-27 04:35:00,False,False
BLAST/USDT,2025-03-27 04:35:00,False,False
EIGEN/USDT,2025-03-27 04:35:00,False,False
MNT/USDT,2025-03-27 04:35:00,False,False
ETH/USDT,2025-03-27 04:35:00,False,False
ENA/USDT,2025-03-27 04:35:00,False,False
BLAST/USDT,2025-03-27 04:35:00,False,False
EIGEN/USDT,2025-03-27 04:35:00,False,False
MNT/USDT,2025-03-27 04:35:00,False,False
ETH/USDT,2025-03-27 04:35:00,False,False
ENA/USDT,2025-03-27 04:35:00,False,False
BLAST/USDT,2025-03-27 04:35:00,False,False
EIGEN/USDT,2025-03-27 04:35:00,False,False
MNT/USDT,2025-03-27 04:35:00,False,False
ETH/USDT,2025-03-27 04:35:00,False,False
ENA/USDT,2025-03-27 04:35:00,False,False
BLAST/USDT,2025-03-27 04:35:00,False,False
EIGEN/USDT,2025-03-27 04:35:00,False,False
MNT/USDT,2025-03-27 04:35:00,False,False
ETH/USDT,2025-03-27 04:35:00,False,False
ENA/USDT,2025-03-27 04:35:00,False,False
BLAST/USDT,2025-03-27 04:35:00,False,False
EIGEN/USDT,2025-03-27 04:35:00,False,False
MNT/USDT,2025-03-27 04:35:00,False,False
ETH/USDT,2025-03-27 04:35:00,False,False
ENA/USDT,2025-03-27 04:35:00,False,False
BLAST/USDT,2025-03-27 04:35:00,False,False
EIGEN/USDT,2025-03-27 04:35:00,False,False
MNT/USDT,2025-03-27 04:35:00,False,False
ETH/USDT,2025-03-27 04:35:00,False,False
ENA/USDT,2025-03-27 04:35:00,False,False
BLAST/USDT,2025-03-27 04:35:00,False,False
EIGEN/USDT,2025-03-27 04:35:00,False,False
MNT/USDT,2025-03-27 04:36:00,False,False
ETH/USDT,2025-03-27 04:36:00,False,False
ENA/USDT,2025-03-27 04:36:00,False,False
BLAST/USDT,2025-03-27 04:36:00,False,False
EIGEN/USDT,2025-03-27 04:36:00,False,False
MNT/USDT,2025-03-27 04:36:00,False,False
ETH/USDT,2025-03-27 04:57:00,False,False
ETH/USDT,2025-03-27 04:58:00,False,False
ETH/USDT,2025-03-27 04:59:00,False,False
ETH/USDT,2025-03-27 05:00:00,False,False
ETH/USDT,2025-03-27 05:01:00,False,False
ETH/USDT,2025-03-27 05:02:00,False,False
ETH/USDT,2025-03-27 05:03:00,False,False
ETH/USDT,2025-03-27 05:05:00,False,False
ETH/USDT,2025-03-27 05:06:00,False,False
ETH/USDT,2025-03-27 05:07:00,False,False
ETH/USDT,2025-03-27 05:17:00,False,False
ENA/USDT,2025-03-27 05:17:00,True,False
BLAST/USDT,2025-03-27 05:17:00,False,False
EIGEN/USDT,2025-03-27 05:17:00,False,False
MNT/USDT,2025-03-27 05:17:00,False,False
ETH/USDT,2025-03-27 05:18:00,False,False
ENA/USDT,2025-03-27 05:18:00,False,False
BLAST/USDT,2025-03-27 05:18:00,False,False
EIGEN/USDT,2025-03-27 05:19:00,False,False
MNT/USDT,2025-03-27 05:19:00,False,False
ETH/USDT,2025-03-27 05:19:00,False,False
ENA/USDT,2025-03-27 05:20:00,False,False
BLAST/USDT,2025-03-27 05:20:00,False,False
EIGEN/USDT,2025-03-27 05:20:00,False,False
MNT/USDT,2025-03-27 05:20:00,False,False
ETH/USDT,2025-03-27 05:21:00,False,False
ENA/USDT,2025-03-27 05:21:00,False,False
BLAST/USDT,2025-03-27 05:21:00,False,False
EIGEN/USDT,2025-03-27 05:21:00,False,False
MNT/USDT,2025-03-27 05:21:00,False,False
ETH/USDT,2025-03-27 05:22:00,False,False
ENA/USDT,2025-03-27 05:22:00,False,False
BLAST/USDT,2025-03-27 05:22:00,False,False
EIGEN/USDT,2025-03-27 05:22:00,False,False
MNT/USDT,2025-03-27 05:22:00,False,False
ETH/USDT,2025-03-27 05:23:00,False,False
ENA/USDT,2025-03-27 05:23:00,False,False
BLAST/USDT,2025-03-27 05:23:00,False,False
EIGEN/USDT,2025-03-27 05:23:00,False,False
MNT/USDT,2025-03-27 05:23:00,False,False
ETH/USDT,2025-03-27 05:24:00,False,False
ENA/USDT,2025-03-27 05:24:00,False,False
BLAST/USDT,2025-03-27 05:24:00,True,False
EIGEN/USDT,2025-03-27 05:24:00,False,False
MNT/USDT,2025-03-27 05:24:00,False,False
ETH/USDT,2025-03-27 05:25:00,False,False
ENA/USDT,2025-03-27 05:25:00,False,False
BLAST/USDT,2025-03-27 05:25:00,False,False
EIGEN/USDT,2025-03-27 05:25:00,False,False
MNT/USDT,2025-03-27 05:25:00,False,False
ETH/USDT,2025-03-27 05:26:00,False,True
ENA/USDT,2025-03-27 05:26:00,False,False
BLAST/USDT,2025-03-27 05:26:00,False,False
EIGEN/USDT,2025-03-27 05:26:00,False,False
MNT/USDT,2025-03-27 05:26:00,False,False
ETH/USDT,2025-03-27 05:27:00,False,False
ENA/USDT,2025-03-27 05:27:00,False,False
BLAST/USDT,2025-03-27 05:27:00,False,False
EIGEN/USDT,2025-03-27 05:27:00,False,False
MNT/USDT,2025-03-27 05:27:00,False,False
